item	total	count part-1	specif part-1	count part-2	specif part-2	count part-3	specif part-3	count part-4	specif part-4	count part-5	specif part-5	count part-6	specif part-6	count part-7	specif part-7	count part-8	specif part-8	count part-9	specif part-9	count part-10	specif part-10	count part-11	specif part-11	count part-12	specif part-12	count part-13	specif part-13	count part-14	specif part-14	count part-15	specif part-15	count part-16	specif part-16	count part-17	specif part-17	count part-18	specif part-18	count part-19	specif part-19	count part-20	specif part-20	count part-21	specif part-21	count part-22	specif part-22	count part-23	specif part-23	count part-24	specif part-24	count part-25	specif part-25	count part-26	specif part-26	count part-27	specif part-27	count part-28	specif part-28	count part-29	specif part-29	count part-30	specif part-30	count part-31	specif part-31	count part-32	specif part-32	count part-33	specif part-33	count part-34	specif part-34	count part-35	specif part-35	count part-36	specif part-36	count part-37	specif part-37	count part-38	specif part-38	count part-39	specif part-39	count part-40	specif part-40	count part-41	specif part-41	count part-42	specif part-42	count part-43	specif part-43	count part-44	specif part-44	count part-45	specif part-45	count part-46	specif part-46	count part-47	specif part-47	count part-48	specif part-48	count part-49	specif part-49	count part-50	specif part-50
Olympic	44	0	0.12	0	0.25	0	0.00	0	0.14	0	0.27	0	0.12	0	0.18	0	0.25	0	0.24	0	0.07	0	-0.52	0	0.10	0	0.10	0	0.01	0	-0.78	0	0.10	0	0.20	0	0.25	0	0.10	0	-0.57	0	0.10	0	0.25	0	0.17	0	0.06	0	-0.99	0	0.08	0	0.16	0	0.09	0	0.00	0	0.00	0	0.12	0	0.11	44	47.52	0	-3.25	0	-0.85	0	0.16	0	-1.70	0	0.08	0	0.26	0	0.25	0	0.08	0	0.16	0	-2.43	0	0.35	0	-0.91	0	0.15	0	0.18	0	-0.47	0	0.19	0	0.13
phlmhunter	44	0	0.12	0	0.25	0	0.00	0	0.14	0	0.27	0	0.12	0	0.18	0	0.25	0	0.24	0	0.07	0	-0.52	0	0.10	0	0.10	0	0.01	0	-0.78	0	0.10	0	0.20	0	0.25	0	0.10	0	-0.57	0	0.10	0	0.25	0	0.17	0	0.06	0	-0.99	0	0.08	0	0.16	0	0.09	0	0.00	0	0.00	0	0.12	0	0.11	0	-1.66	0	-3.25	0	-0.85	0	0.16	0	-1.70	0	0.08	0	0.26	0	0.25	0	0.08	0	0.16	0	-2.43	44	76.83	0	-0.91	0	0.15	0	0.18	0	-0.47	0	0.19	0	0.13
Great	43	3	2.62	2	1.05	0	0.00	0	0.14	0	0.26	3	2.61	1	0.56	0	0.25	0	0.23	0	0.07	4	1.66	0	0.09	0	0.10	0	0.01	0	-0.76	0	0.10	2	1.20	3	1.78	0	0.09	11	7.48	0	0.10	1	0.49	0	0.16	0	0.06	3	0.70	0	0.08	0	0.16	0	0.09	0	0.00	0	0.00	0	0.12	0	0.11	0	-1.62	1	-2.28	0	-0.83	0	0.16	4	0.69	0	0.08	0	0.25	4	2.69	0	0.08	0	0.15	0	-2.37	0	0.34	0	-0.89	0	0.15	0	0.17	1	0.43	0	0.19	0	0.13
Learn	43	2	1.56	0	0.24	0	0.00	0	0.14	1	0.48	2	1.55	1	0.56	0	0.25	1	0.50	1	0.85	1	0.43	0	0.09	1	0.74	0	0.01	0	-0.76	0	0.10	1	0.54	0	0.25	0	0.09	2	0.64	3	2.86	1	0.49	0	0.16	0	0.06	1	-0.61	0	0.08	13	16.49	0	0.09	0	0.00	0	0.00	0	0.12	0	0.11	0	-1.62	2	-1.68	0	-0.83	0	0.16	1	-1.06	0	0.08	3	1.77	0	0.24	0	0.08	0	0.15	2	-1.15	0	0.34	1	-0.57	2	1.37	0	0.17	0	-0.46	0	0.19	1	0.66
Adventure	43	1	0.68	0	0.24	0	0.00	0	0.14	0	0.26	1	0.68	0	0.18	0	0.25	0	0.23	0	0.07	0	-0.50	0	0.09	0	0.10	0	0.01	0	-0.76	0	0.10	5	4.11	0	0.25	0	0.09	0	-0.56	0	0.10	2	1.04	0	0.16	0	0.06	0	-0.97	1	0.83	0	0.16	0	0.09	0	0.00	0	0.00	0	0.12	0	0.11	0	-1.62	0	-3.18	0	-0.83	3	2.28	24	14.49	1	0.81	1	0.49	0	0.24	1	0.83	0	0.15	3	-0.89	0	0.34	0	-0.89	0	0.15	0	0.17	0	-0.46	0	0.19	0	0.13
account	43	1	0.68	2	1.05	0	0.00	0	0.14	2	1.00	0	0.12	0	0.18	0	0.25	2	1.08	0	0.07	2	0.67	0	0.09	0	0.10	0	0.01	0	-0.76	0	0.10	1	0.54	3	1.78	0	0.09	0	-0.56	0	0.10	3	1.77	0	0.16	0	0.06	2	0.56	4	4.53	0	0.16	0	0.09	0	0.00	0	0.00	0	0.12	0	0.11	0	-1.62	2	-1.68	2	0.56	0	0.16	2	-0.77	4	4.45	0	0.25	1	0.49	4	4.55	0	0.15	3	-0.89	0	0.34	2	0.56	0	0.15	1	0.57	0	-0.46	0	0.19	0	0.13
So	43	1	0.68	0	0.24	0	0.00	2	1.43	1	0.48	0	0.12	4	3.15	2	1.05	0	0.23	0	0.07	0	-0.50	1	0.76	0	0.10	0	0.01	0	-0.76	0	0.10	0	0.19	0	0.25	0	0.09	0	-0.56	0	0.10	0	0.25	0	0.16	0	0.06	2	0.56	0	0.08	0	0.16	1	0.76	0	0.00	0	0.00	0	0.12	0	0.11	1	-1.03	8	0.87	0	-0.83	2	1.34	1	-1.06	0	0.08	1	0.49	1	0.49	3	3.16	1	0.61	4	-0.75	2	0.86	1	-0.57	0	0.15	1	0.57	3	1.17	0	0.19	0	0.13
little	43	1	0.68	2	1.05	0	0.00	0	0.14	1	0.48	0	0.12	1	0.56	0	0.25	0	0.23	0	0.07	0	-0.50	3	2.89	0	0.10	0	0.01	0	-0.76	0	0.10	0	0.19	0	0.25	0	0.09	1	0.44	0	0.10	0	0.25	0	0.16	0	0.06	0	-0.97	0	0.08	1	0.59	1	0.76	0	0.00	0	0.00	0	0.12	0	0.11	3	0.66	1	-2.28	2	0.56	1	0.59	1	-1.06	0	0.08	3	1.77	6	4.77	0	0.08	1	0.61	5	0.73	1	0.44	3	0.73	0	0.15	0	0.17	4	1.78	0	0.19	1	0.66
Sign	43	1	0.68	0	0.24	0	0.00	0	0.14	0	0.26	1	0.68	0	0.18	0	0.25	0	0.23	1	0.85	0	-0.50	0	0.09	1	0.74	0	0.01	0	-0.76	0	0.10	4	3.03	7	5.86	3	2.90	0	-0.56	2	1.71	0	0.25	0	0.16	0	0.06	0	-0.97	4	4.53	0	0.16	0	0.09	0	0.00	0	0.00	0	0.12	0	0.11	0	-1.62	1	-2.28	0	-0.83	0	0.16	0	-1.67	4	4.45	5	3.61	3	1.80	4	4.55	0	0.15	0	-2.37	0	0.34	0	-0.89	1	0.61	0	0.17	0	-0.46	1	0.55	0	0.13
X	43	0	0.12	1	0.49	0	0.00	0	0.14	0	0.26	0	0.12	0	0.18	0	0.25	0	0.23	0	0.07	0	-0.50	0	0.09	0	0.10	0	0.01	0	-0.76	0	0.10	11	12.23	0	0.25	0	0.09	0	-0.56	0	0.10	0	0.25	2	1.32	0	0.06	0	-0.97	0	0.08	0	0.16	0	0.09	0	0.00	0	0.00	0	0.12	3	2.72	2	-0.75	4	-1.01	0	-0.83	0	0.16	1	-1.06	0	0.08	0	0.25	1	0.49	0	0.08	0	0.15	15	4.21	0	0.34	3	0.73	0	0.15	0	0.17	0	-0.46	0	0.19	0	0.13
