item	total	count part-1	specif part-1	count part-2	specif part-2	count part-3	specif part-3	count part-4	specif part-4	count part-5	specif part-5	count part-6	specif part-6	count part-7	specif part-7	count part-8	specif part-8	count part-9	specif part-9	count part-10	specif part-10	count part-11	specif part-11	count part-12	specif part-12	count part-13	specif part-13	count part-14	specif part-14	count part-15	specif part-15	count part-16	specif part-16	count part-17	specif part-17	count part-18	specif part-18	count part-19	specif part-19	count part-20	specif part-20	count part-21	specif part-21	count part-22	specif part-22	count part-23	specif part-23	count part-24	specif part-24	count part-25	specif part-25	count part-26	specif part-26	count part-27	specif part-27	count part-28	specif part-28	count part-29	specif part-29	count part-30	specif part-30	count part-31	specif part-31	count part-32	specif part-32	count part-33	specif part-33	count part-34	specif part-34	count part-35	specif part-35	count part-36	specif part-36	count part-37	specif part-37	count part-38	specif part-38	count part-39	specif part-39	count part-40	specif part-40	count part-41	specif part-41	count part-42	specif part-42	count part-43	specif part-43	count part-44	specif part-44	count part-45	specif part-45	count part-46	specif part-46	count part-47	specif part-47	count part-48	specif part-48	count part-49	specif part-49	count part-50	specif part-50
This	204	0	-0.56	2	0.60	0	0.01	0	-0.67	5	1.04	0	-0.57	3	0.75	3	0.66	1	-0.70	1	0.44	2	-1.20	0	-0.45	1	0.43	1	0.91	9	0.89	3	1.16	4	1.00	2	0.61	0	-0.45	1	-1.86	3	1.17	3	0.65	1	0.52	0	0.30	18	2.10	1	0.44	2	0.57	1	0.43	0	0.01	0	0.01	0	-0.55	2	0.67	4	-4.03	33	1.13	14	1.53	1	0.51	14	-1.13	0	0.38	4	0.82	8	2.42	1	0.44	5	1.71	22	-1.10	5	0.84	6	-1.12	2	0.58	2	0.57	5	0.75	5	1.43	4	1.41
them	203	0	-0.56	4	0.84	0	0.01	0	-0.66	6	1.37	0	-0.56	1	0.55	5	1.11	1	-0.70	0	0.34	6	0.80	3	1.19	0	-0.47	0	0.06	0	-3.60	0	-0.46	2	0.57	4	0.83	0	-0.44	5	-0.79	0	-0.46	1	-0.74	1	0.52	0	0.29	9	-0.91	0	0.36	2	0.57	5	2.53	0	0.01	0	0.01	0	-0.55	0	-0.52	13	-1.18	14	-4.08	22	4.25	0	-0.75	9	-2.01	0	0.38	4	0.82	3	0.66	1	0.44	6	2.29	32	1.68	7	1.35	4	-1.60	3	0.85	2	0.57	20	6.87	6	1.91	2	0.62
released	201	0	-0.55	1	-0.72	0	0.01	0	-0.66	0	-1.24	0	-0.56	0	-0.84	0	-1.15	3	0.67	0	0.34	0	-2.36	0	-0.44	0	-0.47	0	0.06	0	-3.57	0	-0.46	0	-0.91	3	0.66	0	-0.44	0	-2.62	0	-0.45	0	-1.16	0	-0.76	1	0.46	0	-4.52	0	0.36	0	-0.74	0	0.43	0	0.01	0	0.01	0	-0.55	0	-0.51	0	-7.59	35	1.23	0	-3.89	0	-0.74	93	44.65	0	0.38	0	-1.17	2	0.60	0	0.35	0	-0.71	49	6.34	0	-1.59	12	1.09	0	-0.71	1	0.54	1	-1.46	0	-0.87	0	-0.60
urban	198	0	-0.55	3	0.66	0	0.01	0	-0.65	0	-1.22	0	-0.55	0	-0.83	0	-1.13	0	-1.08	0	0.33	40	22.77	0	-0.44	0	-0.46	0	0.06	0	-3.52	0	-0.45	0	-0.90	0	-1.14	0	0.43	0	-2.58	0	-0.45	3	0.66	20	14.82	2	0.95	88	58.91	0	0.35	0	-0.73	0	0.42	0	0.01	0	0.01	0	-0.54	1	0.44	0	-7.48	1	-13.07	0	-3.83	0	-0.73	0	-7.67	0	0.37	0	-1.16	0	-1.12	0	0.35	0	-0.70	0	-10.93	0	-1.57	0	-4.09	0	-0.70	0	-0.81	9	1.51	31	26.65	0	-0.59
into	197	1	0.44	2	0.59	0	0.01	5	1.89	2	0.62	0	-0.55	2	0.57	4	0.85	2	0.59	0	0.33	0	-2.31	1	0.43	0	-0.46	0	0.06	0	-3.50	0	-0.45	3	0.73	3	0.66	0	0.43	8	1.01	0	-0.44	1	-0.72	4	1.19	1	0.47	17	1.95	0	0.35	1	0.50	3	1.24	0	0.01	0	0.01	0	-0.54	0	-0.50	13	-1.12	23	-1.61	8	0.85	0	-0.72	16	0.99	2	0.81	11	4.20	4	0.86	0	0.35	2	0.59	26	1.14	3	0.67	7	-0.94	0	-0.69	3	0.78	8	1.24	9	3.83	2	0.63
million	188	0	-0.52	0	-1.06	0	0.01	1	0.46	1	-0.73	0	-0.52	0	-0.78	0	-1.07	7	2.15	0	0.31	0	-2.20	0	0.41	0	-0.44	0	0.06	0	-3.34	0	0.43	0	-0.85	1	-0.68	0	0.41	0	-2.45	0	0.42	0	-1.09	0	-0.71	0	0.27	0	-4.23	0	0.34	0	-0.70	0	0.40	0	0.01	0	0.01	0	-0.51	0	-0.48	3	-4.19	114	43.86	0	-3.64	0	-0.69	28	2.86	0	0.35	0	-1.10	0	-1.06	0	0.33	0	-0.67	22	1.05	0	-1.49	10	0.93	1	0.48	0	-0.76	0	-2.02	0	-0.82	0	-0.56
png	188	0	-0.52	0	-1.06	0	0.01	0	-0.61	3	0.66	0	-0.52	0	-0.78	0	-1.07	0	-1.03	1	0.45	1	-1.49	0	0.41	1	0.43	0	0.06	0	-3.34	0	0.43	25	19.47	0	-1.09	0	0.41	37	19.23	0	0.42	0	-1.09	0	-0.71	4	2.47	0	-4.23	0	0.34	0	-0.70	0	0.40	0	0.01	0	0.01	0	-0.51	0	-0.48	102	58.39	2	-11.11	0	-3.64	0	-0.69	5	-3.17	0	0.35	0	-1.10	0	-1.06	0	0.33	0	-0.67	1	-8.97	4	0.73	1	-2.92	0	-0.66	0	-0.76	0	-2.02	1	0.54	0	-0.56
after	186	2	0.67	3	0.68	0	0.01	1	0.46	6	1.50	2	0.67	0	-0.77	0	-1.06	2	0.58	0	0.31	1	-1.47	0	0.41	0	-0.43	0	0.06	0	-3.30	0	0.42	0	-0.84	9	3.16	0	0.41	1	-1.67	2	0.75	1	-0.68	0	-0.71	2	0.99	16	1.87	0	0.33	0	-0.69	0	0.40	0	0.01	0	0.01	0	-0.51	0	-0.47	35	5.55	36	1.53	2	-2.04	1	0.48	16	0.98	0	0.35	3	0.67	2	0.58	1	0.45	1	0.48	17	-1.32	3	0.65	6	-0.99	4	1.33	2	0.57	3	-0.78	4	1.11	2	0.64
when	181	2	0.68	1	-0.65	0	0.01	2	0.62	9	3.06	1	0.44	5	1.65	1	-0.65	1	-0.63	0	0.30	1	-1.43	1	0.43	1	0.43	0	0.05	5	-0.93	5	2.63	1	0.54	3	0.68	0	0.40	10	1.62	1	0.43	2	0.58	5	1.79	2	1.00	6	-1.07	0	0.32	0	-0.67	0	0.39	0	0.01	0	0.01	0	-0.49	0	-0.46	33	5.00	8	-5.84	9	0.90	3	0.89	9	-1.61	0	0.34	5	1.22	4	0.92	0	0.32	5	1.89	10	-2.76	6	1.19	5	-1.11	3	0.92	2	0.58	10	2.05	4	1.14	0	-0.54
world	180	2	0.68	3	0.68	0	0.01	8	4.21	3	0.66	0	-0.50	1	0.51	2	0.58	0	-0.98	0	0.30	2	-1.03	0	0.40	0	0.42	0	0.05	1	-2.32	0	0.41	2	0.57	0	-1.04	1	0.44	4	-0.78	0	0.41	2	0.58	0	-0.68	0	0.26	2	-2.39	0	0.32	0	-0.67	0	0.39	0	0.01	0	0.01	0	-0.49	3	1.17	45	10.89	20	-1.69	3	-1.53	3	0.89	28	3.12	0	0.34	1	-0.66	7	2.17	0	0.32	0	-0.64	30	1.85	0	-1.42	5	-1.10	0	-0.63	0	-0.73	1	-1.28	1	0.52	0	-0.54
no	177	2	0.69	0	-1.00	0	0.01	4	1.47	0	-1.09	2	0.68	3	0.83	2	0.57	1	-0.62	1	0.46	2	-1.01	0	0.39	2	0.76	0	0.05	6	-0.83	0	0.40	1	0.53	3	0.68	0	0.39	12	2.37	1	0.43	1	-0.65	3	0.88	0	0.26	7	-0.92	0	0.32	0	-0.66	0	0.38	0	0.01	0	0.01	0	-0.48	1	0.43	19	1.29	19	-1.79	8	0.85	2	0.60	21	1.53	1	0.45	4	0.91	4	0.94	0	0.31	0	-0.63	24	1.15	3	0.65	4	-1.31	1	0.46	1	0.50	12	2.99	0	-0.77	0	-0.53
like	174	1	0.43	1	-0.63	0	0.01	2	0.64	5	1.20	0	-0.48	3	0.84	13	6.29	0	-0.95	1	0.46	0	-2.04	5	2.76	0	0.41	0	0.05	1	-2.23	0	0.40	0	-0.79	0	-1.00	0	0.38	2	-1.12	1	0.44	0	-1.01	2	0.60	0	0.25	23	4.77	0	0.31	1	0.47	2	0.81	0	0.01	0	0.01	0	-0.47	0	-0.44	17	1.09	9	-4.93	17	2.99	2	0.60	5	-2.79	0	0.33	2	0.58	8	2.81	1	0.46	2	0.61	20	1.03	4	0.75	6	-0.92	0	-0.61	0	-0.71	11	2.58	4	1.18	3	1.07
You	172	2	0.70	2	0.57	0	0.01	0	-0.56	0	-1.06	0	-0.48	1	0.50	1	-0.62	0	-0.94	5	3.29	4	0.72	0	0.38	0	0.40	0	0.05	0	-3.05	0	0.39	2	0.57	0	-0.99	0	0.38	7	0.96	1	0.44	0	-1.00	1	0.47	0	0.25	4	-1.42	2	0.91	1	0.47	1	0.44	0	0.01	0	0.01	0	-0.47	0	-0.44	9	-1.40	85	24.38	1	-2.43	0	-0.63	5	-2.74	3	1.50	2	0.57	3	0.70	2	0.92	3	0.95	12	-1.93	1	-0.86	0	-3.55	0	-0.61	0	-0.70	4	0.71	4	1.19	4	1.62
story	172	2	0.70	1	-0.62	0	0.01	0	-0.56	3	0.67	8	4.81	2	0.58	5	1.30	0	-0.94	0	0.29	2	-0.97	0	0.38	0	0.40	0	0.05	0	-3.05	0	0.39	1	0.52	0	-0.99	0	0.38	3	-0.87	0	0.39	8	2.77	11	6.44	0	0.25	22	4.39	1	0.46	2	0.60	1	0.44	0	0.01	0	0.01	0	-0.47	0	-0.44	4	-3.12	9	-4.83	25	6.98	2	0.61	12	-1.05	0	0.32	7	2.19	9	3.46	0	0.30	7	3.33	6	-4.18	3	0.65	4	-1.25	0	-0.61	4	1.26	1	-1.21	6	2.21	1	0.44
new	172	0	-0.47	1	-0.62	0	0.01	1	0.45	4	0.90	1	0.43	0	-0.72	0	-0.98	1	-0.60	0	0.29	2	-0.97	2	0.80	0	0.40	1	0.98	1	-2.20	11	8.64	3	0.80	0	-0.99	1	0.44	8	1.17	1	0.44	1	-0.63	3	0.90	0	0.25	3	-1.77	1	0.46	1	0.47	1	0.44	0	0.01	0	0.01	0	-0.47	3	1.21	9	-1.40	20	-1.52	1	-2.43	2	0.61	18	1.17	1	0.45	0	-1.00	5	1.32	1	0.46	1	0.46	38	4.17	1	-0.86	10	1.00	0	-0.61	1	0.49	2	-0.88	3	0.82	8	4.61
American	171	3	1.15	4	0.96	0	0.01	0	-0.56	1	-0.66	4	1.71	0	-0.71	1	-0.62	3	0.71	0	0.29	5	0.76	0	0.38	0	0.40	0	0.05	0	-3.04	0	0.39	0	-0.77	2	0.57	0	0.37	0	-2.23	0	0.39	2	0.57	0	-0.65	0	0.25	16	2.15	0	0.31	0	-0.63	0	0.37	0	0.01	0	0.01	0	-0.46	0	-0.43	5	-2.61	80	21.09	0	-3.31	0	-0.63	5	-2.71	0	0.32	0	-1.00	0	-0.96	0	0.30	0	-0.61	24	1.21	0	-1.35	5	-1.03	7	3.36	4	1.27	0	-1.84	0	-0.74	0	-0.51
than	169	0	-0.47	2	0.57	0	0.01	2	0.64	5	1.24	0	-0.47	0	-0.70	1	-0.62	0	-0.92	3	1.63	0	-1.98	0	0.37	0	0.39	1	0.98	0	-3.00	0	0.38	0	-0.76	0	-0.98	0	0.37	7	0.98	0	0.38	4	0.95	2	0.60	0	0.25	1	-2.85	0	0.30	0	-0.63	0	0.36	0	0.01	0	0.01	0	-0.46	0	0.43	33	5.63	28	1.11	16	2.73	3	0.93	5	-2.66	1	0.45	4	0.95	5	1.34	1	0.46	2	0.62	22	1.08	1	-0.84	6	-0.89	2	0.62	2	0.59	8	1.48	0	-0.74	2	0.68
so	169	0	-0.47	2	0.57	0	0.01	1	0.45	2	0.58	2	0.70	5	1.75	11	4.87	1	-0.59	0	0.28	3	-0.77	2	0.81	2	0.78	0	0.05	6	0.81	0	0.38	1	0.52	1	-0.62	0	0.37	6	0.83	1	0.44	1	-0.62	3	0.91	0	0.25	0	-3.80	2	0.92	1	0.47	0	0.36	0	0.01	0	0.01	0	-0.46	0	0.43	21	1.74	4	-7.90	13	1.75	6	2.57	8	-1.64	3	1.51	7	2.23	3	0.71	2	0.93	1	0.46	12	-1.86	7	1.65	3	-1.53	0	-0.59	0	-0.69	23	10.51	1	0.50	2	0.68
three	168	0	-0.46	1	-0.61	0	0.01	0	-0.55	4	0.91	0	-0.47	0	-0.70	3	0.70	0	-0.92	0	0.28	1	-1.31	0	0.37	1	0.44	0	0.05	0	-2.98	0	0.38	0	-0.76	0	-0.97	0	0.37	4	0.75	0	0.38	0	-0.97	1	0.47	1	0.49	3	-1.71	0	0.30	0	-0.62	1	0.44	0	0.01	0	0.01	0	-0.46	0	0.43	81	41.46	14	-2.69	2	-1.78	1	0.46	18	1.21	0	0.31	0	-0.98	1	-0.60	0	0.30	0	-0.59	14	-1.45	1	-0.84	11	1.18	1	0.46	1	0.48	2	-0.86	1	0.50	0	-0.50
over	167	3	1.17	1	-0.60	0	0.01	1	0.44	2	0.58	0	-0.46	0	-0.70	2	0.57	1	-0.59	4	2.44	0	-1.96	3	1.37	0	0.39	0	0.05	0	-2.96	0	0.38	0	-0.75	0	-0.96	0	0.37	2	-1.07	0	0.38	2	0.57	3	0.92	1	0.49	6	-0.96	0	0.30	0	-0.62	1	0.44	0	0.01	0	0.01	0	-0.45	1	0.43	19	1.41	34	1.68	8	0.86	0	-0.61	7	-1.88	0	0.31	3	0.70	5	1.35	0	0.29	0	-0.59	24	1.25	1	-0.83	15	2.20	1	0.45	3	0.88	8	1.50	3	0.84	3	1.10
only	166	1	0.43	3	0.71	0	0.01	4	1.55	4	0.92	1	0.43	3	0.87	2	0.57	1	-0.58	3	1.64	4	0.71	1	0.44	2	0.79	0	0.05	3	-1.21	2	0.80	2	0.57	1	-0.61	0	0.36	4	0.74	0	0.37	0	-0.96	0	-0.63	3	1.79	6	-0.96	0	0.30	0	-0.61	0	0.36	0	0.01	0	0.01	0	-0.45	0	0.42	30	4.56	6	-6.23	10	1.11	3	0.95	12	-1.01	0	0.31	3	0.70	3	0.71	1	0.46	1	0.45	15	-1.28	5	1.00	11	1.19	3	0.98	1	0.48	10	2.28	1	0.50	1	0.44
News	163	3	1.19	0	-0.92	0	0.01	0	-0.53	1	-0.64	1	0.43	0	-0.68	0	-0.93	0	-0.89	0	0.27	2	-0.92	0	0.36	0	0.38	0	0.05	0	-2.89	0	0.37	4	1.21	0	-0.94	2	0.83	6	0.85	0	0.37	0	-0.94	6	2.59	0	0.24	3	-1.64	4	2.38	3	0.96	3	1.42	0	0.01	0	0.01	1	0.43	0	0.41	0	-6.16	71	16.74	0	-3.15	0	-0.60	2	-4.25	4	2.31	0	-0.95	1	-0.59	4	2.40	6	2.73	17	-1.07	0	-1.29	4	-1.16	1	0.45	9	4.66	5	0.80	0	-0.71	0	-0.49
years	162	2	0.72	3	0.72	0	0.01	1	0.44	7	2.21	2	0.72	0	-0.67	0	-0.93	1	-0.57	0	0.27	1	-1.25	1	0.44	0	0.38	0	0.05	0	-2.88	0	0.37	0	-0.73	3	0.71	0	0.35	2	-1.03	0	0.37	0	-0.94	0	-0.61	3	1.82	7	-0.86	0	0.29	0	-0.60	1	0.44	0	0.01	0	0.01	0	-0.44	1	0.43	44	11.97	19	-1.45	2	-1.70	2	0.62	14	0.96	0	0.30	5	1.35	2	0.57	0	0.29	2	0.63	12	-1.70	3	0.65	5	-0.97	4	1.49	1	0.48	7	1.24	1	0.49	4	1.69
people	161	1	0.43	4	1.01	0	0.01	1	0.44	9	3.41	1	0.43	6	2.43	9	3.63	0	-0.88	0	0.27	5	0.77	3	1.40	0	0.38	0	0.05	0	-2.86	0	0.37	0	-0.73	0	-0.93	0	0.35	0	-2.10	1	0.44	0	-0.93	3	0.95	0	0.23	19	3.47	0	0.29	2	0.62	2	0.85	0	0.01	0	0.01	0	-0.44	1	0.43	3	-3.37	19	-1.43	5	-0.89	0	-0.59	4	-2.93	0	0.30	4	0.98	3	0.73	0	0.28	1	0.45	18	-1.02	6	1.35	3	-1.43	1	0.45	1	0.47	21	9.32	2	0.58	3	1.13
jpg	161	0	-0.44	0	-0.91	0	0.01	0	-0.53	0	-0.99	0	-0.45	0	-0.67	0	-0.92	1	-0.57	1	0.48	1	-1.24	0	0.35	0	0.38	0	0.05	0	-2.86	0	0.37	14	8.77	0	-0.93	0	0.35	8	1.26	0	0.36	6	1.82	0	-0.61	0	0.23	1	-2.69	0	0.29	1	0.46	0	0.35	0	0.01	0	0.01	1	0.43	0	0.41	108	75.57	5	-6.63	0	-3.11	0	-0.59	3	-3.49	0	0.30	0	-0.94	1	-0.58	0	0.28	1	0.45	7	-3.27	0	-1.27	1	-2.43	0	-0.57	0	-0.65	0	-1.73	0	-0.70	1	0.43
figure	159	0	-0.44	1	-0.58	0	0.01	0	-0.52	0	-0.98	0	-0.44	0	-0.66	0	-0.91	0	-0.87	0	0.27	1	-1.23	0	0.35	0	0.37	0	0.05	128	146.84	0	0.36	0	-0.72	0	-0.92	0	0.35	0	-2.07	0	0.36	0	-0.92	0	-0.60	0	0.23	9	0.89	0	0.28	0	-0.59	0	0.34	0	0.01	0	0.01	0	0.43	0	0.40	1	-4.85	8	-4.67	3	-1.28	0	-0.58	0	-6.16	0	0.30	0	-0.93	1	-0.58	0	0.28	0	-0.56	3	-5.56	0	-1.26	1	-2.39	1	0.45	0	-0.65	0	-1.71	2	0.59	0	-0.47
com	158	2	0.73	0	-0.89	1	1.70	0	-0.52	1	-0.62	2	0.73	0	-0.66	2	0.57	5	1.47	1	0.48	14	4.15	1	0.44	3	1.37	0	0.05	0	-2.80	0	0.36	0	-0.71	1	-0.59	0	0.35	1	-1.38	0	0.36	1	-0.59	0	-0.60	0	0.23	21	4.46	0	0.28	16	12.17	1	0.45	0	0.01	0	0.01	1	0.43	1	0.43	0	-5.97	8	-4.62	0	-3.06	0	-0.58	11	-1.02	0	0.30	2	0.57	0	-0.89	0	0.28	0	-0.56	37	4.62	14	5.97	2	-1.79	1	0.45	0	-0.64	5	0.82	2	0.59	1	0.43
said	157	0	0.43	1	-0.57	0	0.01	1	0.44	6	1.77	0	-0.44	1	0.47	1	-0.58	2	0.56	0	0.26	1	-1.21	0	0.35	0	0.37	0	0.05	0	-2.79	0	0.36	0	-0.71	4	1.01	0	0.34	0	-2.05	0	0.35	0	-0.91	0	-0.60	0	0.23	17	2.81	0	0.28	3	0.98	1	0.45	0	0.01	0	0.01	0	0.43	0	0.40	26	3.48	33	1.80	0	-3.04	0	-0.58	9	-1.25	0	0.29	3	0.72	0	-0.88	0	0.28	0	-0.56	19	1.01	6	1.38	15	2.41	0	-0.55	3	0.92	3	0.69	1	0.48	1	0.43
there	153	2	0.75	2	0.56	0	0.01	4	1.65	0	-0.94	0	0.43	1	0.47	2	0.56	0	-0.83	0	0.26	2	-0.85	1	0.45	1	0.44	0	0.05	1	-1.91	0	0.35	0	-0.69	2	0.56	0	0.33	3	-0.77	5	2.95	0	-0.89	1	0.45	0	0.22	7	0.83	0	0.27	0	-0.57	0	0.33	0	0.01	0	0.01	0	0.42	0	0.39	13	0.94	10	-3.47	12	1.72	1	0.45	2	-3.92	0	0.29	1	-0.58	5	1.47	0	0.27	10	6.26	16	-1.05	14	6.14	4	-1.07	0	-0.54	0	-0.62	26	14.08	3	0.89	2	0.71
Time	153	0	0.42	1	0.56	0	0.01	0	-0.50	0	-0.94	0	0.43	1	0.47	0	-0.87	0	-0.83	0	0.26	3	-0.71	0	0.34	2	0.83	0	0.05	0	-2.72	0	0.35	2	0.59	0	-0.88	0	0.33	0	-1.99	0	0.35	1	-0.57	0	-0.58	0	0.22	3	-1.50	0	0.27	0	-0.57	0	0.33	0	0.01	0	0.01	2	0.76	0	0.39	1	-4.64	36	2.52	0	-2.96	10	6.12	78	41.48	0	0.29	0	-0.89	4	1.06	0	0.27	0	-0.54	8	-2.60	0	-1.21	1	-2.28	0	-0.54	0	-0.62	0	-1.64	0	-0.67	0	-0.46
some	152	1	0.43	4	1.06	0	0.01	4	1.66	3	0.71	1	0.43	4	1.37	6	1.95	0	-0.83	0	0.25	5	0.80	2	0.86	1	0.44	0	0.05	0	-2.70	0	0.35	0	-0.69	0	-0.88	0	0.33	4	0.72	0	0.34	8	3.09	0	-0.58	0	0.22	9	0.92	0	0.27	2	0.64	0	0.33	0	0.01	0	0.01	0	0.41	0	0.39	7	-1.52	9	-3.85	11	1.46	1	0.45	8	-1.36	0	0.28	5	1.43	1	0.56	0	0.27	2	0.65	24	1.48	9	2.85	3	-1.32	0	-0.54	1	0.46	13	4.11	3	0.89	1	0.43
e	151	0	0.42	0	-0.85	0	0.01	0	-0.49	3	0.72	0	0.42	0	-0.63	2	0.56	4	1.10	0	0.25	12	3.26	0	0.33	0	0.35	0	0.05	1	-1.88	4	2.15	15	10.15	0	-0.87	0	0.33	0	-1.97	1	0.44	4	1.05	1	0.45	0	0.22	1	-2.49	0	0.27	0	-0.56	0	0.32	0	0.01	0	0.01	2	0.76	0	0.38	0	-5.70	50	7.27	9	1.05	0	-0.56	8	-1.35	0	0.28	0	-0.88	0	-0.85	0	0.27	0	-0.53	23	1.36	0	-1.19	11	1.35	0	-0.53	0	-0.61	0	-1.62	0	-0.66	0	-0.45
we	148	0	0.41	4	1.08	0	0.01	7	3.92	0	-0.91	0	0.41	1	0.46	4	1.08	2	0.57	1	0.49	0	-1.74	0	0.33	0	0.35	2	2.33	2	-1.35	1	0.45	0	-0.67	2	0.56	0	0.32	2	-0.92	0	0.33	0	-0.86	8	4.35	0	0.21	0	-3.33	4	2.52	1	0.45	1	0.45	0	0.01	0	0.01	0	0.40	0	0.38	14	1.00	1	-9.50	3	-1.16	31	32.93	3	-3.10	3	1.65	1	0.56	4	1.09	3	1.71	6	2.93	14	-1.15	4	0.83	2	-1.64	0	-0.52	1	0.46	10	2.60	4	1.35	2	0.73
S	147	0	0.41	0	-0.83	0	0.01	0	-0.48	0	-0.90	0	0.41	1	0.46	0	-0.84	1	0.53	0	0.25	4	0.70	0	0.32	0	0.34	0	0.04	0	-2.61	0	0.33	0	-0.66	1	0.55	0	0.32	0	-1.92	0	0.33	0	-0.85	0	-0.56	0	0.21	4	-1.13	0	0.26	1	0.44	0	0.32	0	0.01	0	0.01	5	2.69	1	0.44	11	-0.94	11	-2.84	85	74.75	0	-0.54	1	-4.56	0	0.28	0	-0.86	0	-0.83	0	0.26	2	0.66	13	-1.25	0	-1.16	3	-1.26	0	-0.52	0	-0.60	1	-1.01	0	-0.64	2	0.73
Games	146	0	0.40	0	-0.83	0	0.01	0	-0.48	0	-0.90	0	0.41	0	-0.61	0	-0.83	0	-0.80	0	0.24	0	-1.71	0	0.32	0	0.34	0	0.04	0	-2.59	0	0.33	4	1.32	1	0.55	0	0.32	4	0.71	0	0.33	0	-0.85	0	-0.55	0	0.21	0	-3.28	10	9.18	0	-0.54	0	0.31	0	0.01	0	0.01	0	0.40	0	0.37	10	-0.98	1	-9.36	0	-2.82	1	0.44	20	1.95	10	8.99	0	-0.85	9	3.98	10	9.24	0	-0.52	16	-1.01	0	-1.15	50	29.11	0	-0.51	0	-0.59	0	-1.57	0	-0.64	0	-0.43
pyplot	145	0	0.40	0	-0.82	0	0.01	0	-0.47	0	-0.89	0	0.40	0	-0.60	0	-0.83	0	-0.79	0	0.24	0	-1.70	0	0.32	0	0.34	0	0.04	145	203.14	0	0.33	0	-0.66	0	-0.84	0	0.32	0	-1.89	0	0.33	0	-0.84	0	-0.55	0	0.21	0	-3.26	0	0.26	0	-0.54	0	0.31	0	0.01	0	0.01	0	0.39	0	0.37	0	-5.48	0	-10.72	0	-2.80	0	-0.53	0	-5.62	0	0.27	0	-0.85	0	-0.82	0	0.26	0	-0.51	0	-8.00	0	-1.15	0	-2.99	0	-0.51	0	-0.59	0	-1.56	0	-0.63	0	0.43
such	144	0	0.40	1	0.54	0	0.01	0	-0.47	4	1.04	0	0.40	4	1.43	1	0.54	1	0.53	0	0.24	13	3.99	0	0.32	2	0.86	0	0.04	2	-1.30	0	0.33	0	-0.65	1	0.55	0	0.31	0	-1.88	0	0.32	5	1.51	5	2.15	0	0.21	4	-1.10	0	0.26	0	-0.53	2	0.91	0	0.01	0	0.01	3	1.31	0	0.37	7	-1.39	15	-1.68	17	3.88	1	0.44	14	1.01	0	0.27	0	-0.84	1	0.54	0	0.25	0	-0.51	18	1.01	1	-0.72	8	0.90	0	-0.51	4	1.46	6	1.11	0	-0.63	4	1.84
video	140	0	0.39	11	5.68	0	0.01	0	-0.46	0	-0.86	0	0.39	0	-0.58	2	0.57	0	-0.76	0	0.23	1	-1.06	1	0.46	1	0.45	0	0.04	0	-2.49	0	0.32	0	-0.63	0	-0.81	0	0.31	0	-1.82	0	0.32	0	-0.81	1	0.44	0	0.20	0	-3.15	0	0.25	0	-0.52	0	0.30	0	0.01	0	0.01	0	0.38	1	0.44	1	-4.18	42	5.07	0	-2.71	3	1.08	12	0.92	0	0.26	2	0.57	2	0.57	0	0.25	0	-0.50	37	5.85	1	-0.70	19	4.70	0	-0.49	2	0.63	0	-1.50	1	0.46	0	0.42
if	138	1	0.44	0	-0.78	0	0.01	2	0.72	1	0.55	0	0.38	1	0.45	7	2.73	1	0.51	1	0.50	2	-0.77	2	0.92	1	0.45	0	0.04	13	2.62	6	4.06	0	-0.62	1	0.53	0	0.30	9	1.86	1	0.45	1	0.53	0	-0.52	0	0.20	6	-0.82	0	0.25	0	-0.51	0	0.30	0	0.01	0	0.01	0	0.37	1	0.44	13	0.98	4	-5.96	13	2.34	1	0.44	3	-2.80	2	1.01	3	0.78	1	0.52	0	0.24	2	0.69	14	-1.05	6	1.57	1	-2.02	0	-0.49	2	0.64	10	2.80	3	0.96	3	1.27
c	138	0	0.38	1	0.52	0	0.01	0	-0.45	1	0.55	0	0.38	0	-0.57	0	-0.79	1	0.51	0	0.23	0	-1.62	0	0.30	0	0.32	0	0.04	0	-2.45	0	0.31	10	5.74	0	-0.80	0	0.30	31	18.00	0	0.31	2	0.57	1	0.44	0	0.20	0	-3.10	0	0.25	0	-0.51	0	0.30	0	0.01	0	0.01	0	0.37	1	0.44	0	-5.21	24	1.12	5	-0.79	2	0.67	8	-1.16	0	0.26	0	-0.81	0	-0.78	0	0.24	0	-0.49	34	4.78	2	0.59	13	2.15	0	-0.49	0	-0.56	0	-1.48	2	0.62	0	0.41
what	137	0	0.38	1	0.52	0	0.01	5	2.49	3	0.76	3	1.34	1	0.45	2	0.57	1	0.51	0	0.23	2	-0.76	0	0.30	1	0.45	0	0.04	0	-2.43	0	0.31	2	0.61	1	0.53	1	0.46	4	0.70	1	0.46	1	0.53	3	1.07	0	0.20	4	-1.03	2	1.04	1	0.44	0	0.29	0	0.01	0	0.01	0	0.37	0	0.35	16	1.37	7	-4.06	11	1.69	2	0.68	3	-2.77	7	5.63	4	1.13	5	1.62	7	5.80	2	0.69	13	-1.12	3	0.67	1	-2.00	1	0.43	4	1.52	9	2.33	2	0.62	1	0.43
